Event Number,Event Type Group,Event Description,Approximate Location,Neighbourhood Id,Neighbourhood Name,Dispatch Date,Dispatch Time,Dispatch Year,Dispatch Month Name,Dispatch Month Number,Dispatch Day Number,Day Of Week,Event Close Date,Event Close Time,Equipment Assigned,Latitude,Longitude,Location,Count
E19057114,AL,ALARMS,8A AV SW / 173 ST SW,5570,WINDERMERE ESTATES,September 19 2019,10:37:30,2019,SEPTEMBER,09,19,Thursday,September 19 2019,10:57:23,"DCCAR(1), LADDER(1), PUMPER(2), RESCUE(1), TANKER(1)",53.42658638499289,-113.61997384105491,"(53.42658638499289, -113.61997384105491)",1
E19055189,MD,MEDICAL,84 AV NW / 176 ST NW,4560,THORNCLIFF,September 10 2019,22:08:27,2019,SEPTEMBER,09,10,Tuesday,September 11 2019,01:52:07,PUMPER(1),53.517411532799606,-113.6263989143463,"(53.517411532799606, -113.6263989143463)",1
E19062448,AL,ALARMS,WINDERMERE WAY SW / WINDERMERE BLVD EB SW,5570,WINDERMERE ESTATES,October 14 2019,14:24:04,2019,OCTOBER,10,14,Monday,October 14 2019,14:35:27,"DCCAR(1), LADDER(1), PUMPER(2), RESCUE(1), TANKER(1)",53.43691069467858,-113.61866067901322,"(53.43691069467858, -113.61866067901322)",1
E19069054,AL,ALARMS,177A ST NW / 84 AV NW,4560,THORNCLIFFE,November 14 2019,11:07:34,2019,NOVEMBER,11,14,Thursday,November 14 2019,11:14:04,"DCCAR(1), LADDER(1), PUMPER(2), RESCUE(1), TANKER(1)",53.51760223474649,-113.62952962117285,"(53.51760223474649, -113.62952962117285)",1
E19063448,TA,MOTOR VEHICLE INCIDENT,STONY PLAIN RD WB NW / 186 ST NB NW,4400,PLACE LARUE,October 18 2019,16:02:17,2019,OCTOBER,10,18,Friday,October 18 2019,16:57:40,PUMPER(1),53.54114220961253,-113.64648439659038,"(53.54114220961253, -113.64648439659038)",1
E19062043,MD,MEDICAL,162A AV NW / 52 ST NW,2340,HOLLICK KENYON,October 12 2019,00:20:04,2019,OCTOBER,10,12,Saturday,October 12 2019,01:46:31,PUMPER(1),53.624855870224096,-113.41669126428485,"(53.624855870224096, -113.41669126428485)",1
E19070378,CA,CITIZEN ASSIST,WHEATON DR NW / WINDERMERE WYND NW,5570,WINDERMERE ESTATES,November 20 2019,18:53:41,2019,NOVEMBER,11,20,Wednesday,November 20 2019,19:23:51,PUMPER(1),53.44764475419429,-113.61879009531678,"(53.44764475419429, -113.61879009531678)",1
E19065341,MD,MEDICAL,81 AV NW / 176 ST NW,4560,THORNCLIFFE,October 27 2019,21:18:36,2019,OCTOBER,10,27,Sunday,October 28 2019,00:19:16,PUMPER(1),53.51489383516718,-113.63008068651793,"(53.51489383516718, -113.63008068651793)",1
E19059727,CA,CITIZEN ASSIST,WARE CRES NW / WARE RD NW,5570,WINDERMERE ESTATES,October 01 2019,10:27:22,2019,OCTOBER,10,01,Tuesday,October 01 2019,13:04:28,PUMPER(2),53.44238496725678,-113.61607972497295,"(53.44238496725678, -113.61607972497295)",1
E19066153,MD,MEDICAL,175 ST SW / 11 AV SW,5570,WINDERMERE,October 31 2019,12:41:20,2019,OCTOBER,10,31,Thursday,October 31 2019,13:21:12,PUMPER(1),53.422587858412875,-113.62169500841586,"(53.422587858412875, -113.62169500841586)",1
E19062864,AL,ALARMS,143 ST NW,5401,RIVER VALLEY FORT EDMONTON,October 16 2019,11:39:20,2019,OCTOBER,10,16,Wednesday,October 16 2019,12:05:23,"DCCAR(1), LADDER(1), PUMPER(2), RESCUE(1)",53.50324211649461,-113.56241293764755,"(53.50324211649461, -113.56241293764755)",1
E19062927,MD,MEDICAL,162 AV NW / 54 ST NW,2340,HOLLICK-KENYON,October 16 2019,14:55:50,2019,OCTOBER,10,16,Wednesday,October 16 2019,17:32:29,PUMPER(1),53.623525092398154,-113.41925070208188,"(53.623525092398154, -113.41925070208188)",1
E19066513,MD,MEDICAL,THORNCLIFF PL NW,4560,THORNCLIFF,November 01 2019,23:23:12,2019,NOVEMBER,11,01,Friday,November 02 2019,00:50:11,PUMPER(1),53.51422009188003,-113.62628895075092,"(53.51422009188003, -113.62628895075092)",1
E19070922,MD,MEDICAL,162 AV NW / 54 ST NW,2340,HOLLICK KENYON,November 23 2019,11:07:10,2019,NOVEMBER,11,23,Saturday,November 23 2019,12:37:02,PUMPER(1),53.623525092398154,-113.41925070208188,"(53.623525092398154, -113.41925070208188)",1
E19053166,MD,MEDICAL,162 AV NW / 54A ST NW,2340,HOLLICK-KENYON,September 01 2019,14:56:46,2019,SEPTEMBER,09,01,Sunday,September 01 2019,16:49:59,PUMPER(1),53.623602614661294,-113.42000674284144,"(53.623602614661294, -113.42000674284144)",1
E19062188,MD,MEDICAL,WINDERMERE RD NW / WINDERMERE BLVD NW,5570,WINDERMERE,October 12 2019,18:36:30,2019,OCTOBER,10,12,Saturday,October 12 2019,18:40:27,PUMPER(1),53.43952517061696,-113.62087831414044,"(53.43952517061696, -113.62087831414044)",1
E19059386,MD,MEDICAL,WARRY LOOP SW / WARRY WAY SW,5570,WINDERMERE,September 29 2019,20:57:43,2019,SEPTEMBER,09,29,Sunday,September 29 2019,21:05:56,PUMPER(2),53.43885929104866,-113.62149901370223,"(53.43885929104866, -113.62149901370223)",1
E19059599,OF,OUTSIDE FIRE,JASPER AV NW / 90 ST NW,1190,RIVER VALLEY KINNAIRD WARD 3,September 30 2019,18:09:03,2019,SEPTEMBER,09,30,Monday,September 30 2019,18:18:42,PUMPER(1),53.550702132251196,-113.47376734060829,"(53.550702132251196, -113.47376734060829)",1
E19056118,OF,OUTSIDE FIRE,170 ST NB NW / 100 AV NW,4400,PLACE LA RUE,,,,,,,,September 15 2019,00:43:57,NO UNITS DISPTCHED,53.539289151025216,-113.61500368493172,"(53.539289151025216, -113.61500368493172)",1
E19060725,MD,MEDICAL,BRIARWYND CT NW,4560,THORNCLIFF,October 05 2019,21:40:21,2019,OCTOBER,10,05,Saturday,October 05 2019,22:35:27,PUMPER(1),53.514270234160065,-113.62571443996494,"(53.514270234160065, -113.62571443996494)",1
E19063873,MD,MEDICAL,171 ST NW / 81 AV NW,4560,THORNCLIFFE,October 20 2019,23:35:00,2019,OCTOBER,10,20,Sunday,October 21 2019,01:16:20,PUMPER(1),53.51486490186559,-113.61677568304351,"(53.51486490186559, -113.61677568304351)",1
E19061983,MD,MEDICAL,55 ST NW / 165 AV NW,2340,HOLLICK-KENYON,October 11 2019,17:30:14,2019,OCTOBER,10,11,Friday,October 11 2019,19:43:16,PUMPER(1),53.62835203825227,-113.41819520893725,"(53.62835203825227, -113.41819520893725)",1
E19066576,MD,MEDICAL,WINDERMERE WAY SW / WINDERMERE BLVD EB SW,5570,WINDERMERE ESTATES,November 02 2019,10:31:36,2019,NOVEMBER,11,02,Saturday,November 02 2019,11:51:23,PUMPER(1),53.43685373371504,-113.61857216355014,"(53.43685373371504, -113.61857216355014)",1
E19053297,MD,MEDICAL,WARE RD NW / WARE CRES NW,5570,WINDERMERE,September 02 2019,09:00:38,2019,SEPTEMBER,09,02,Monday,September 02 2019,11:44:52,PUMPER(1),53.44304905264431,-113.61926092069018,"(53.44304905264431, -113.61926092069018)",1
E19053966,MD,MEDICAL,86 AV NW / 175 ST NW,4560,THORNCLIFFE,September 05 2019,07:54:33,2019,SEPTEMBER,09,05,Thursday,September 05 2019,10:19:32,PUMPER(1),53.51910859423379,-113.62517788565349,"(53.51910859423379, -113.62517788565349)",1
E19053270,MD,MEDICAL,162B AV NW / 58 ST NW,2340,HOLLICK-KENYON,September 02 2019,03:20:44,2019,SEPTEMBER,09,02,Monday,September 02 2019,05:21:42,PUMPER(1),53.62485174587397,-113.4291327985188,"(53.62485174587397, -113.4291327985188)",1
E19067290,MD,MEDICAL,172 ST SW / 7A AV SW,5570,WINDERMERE,November 06 2019,00:02:55,2019,NOVEMBER,11,06,Wednesday,November 06 2019,00:44:08,PUMPER(1),53.42695418399716,-113.61717322033299,"(53.42695418399716, -113.61717322033299)",1
E19066355,AL,ALARMS,WINDERMERE BLVD NW / WINDERMERE RD NW,5570,WINDERMERE ESTATES,November 01 2019,10:05:18,2019,NOVEMBER,11,01,Friday,November 01 2019,10:18:49,"DCCAR(1), LADDER(1), PUMPER(2), RESCUE(1), TANKER(1)",53.43929945510534,-113.61878576898481,"(53.43929945510534, -113.61878576898481)",1
E19060706,MD,MEDICAL,172 ST NW / 87 AV EB NW,4560,THORNCLIFFE,October 05 2019,19:19:26,2019,OCTOBER,10,05,Saturday,October 05 2019,21:53:48,PUMPER(1),53.519573599509684,-113.61878647231597,"(53.519573599509684, -113.61878647231597)",1
E19062826,PM,PERMIT-BURNING OR OTHER,127 ST NB NW / ANTHONY HENDAY DR EB NW,3460,ALBANY,,,,,,,,October 16 2019,11:59:18,NO UNITS DISPTCHED,53.6358573402252,-113.54291962291171,"(53.6358573402252, -113.54291962291171)",1
E19064366,MD,MEDICAL,STONY PLAIN RD NW / STONY PLAIN RD EB NW,4400,PLACE LARUE,October 23 2019,09:05:28,2019,OCTOBER,10,23,Wednesday,October 23 2019,11:49:39,PUMPER(1),53.541222144339855,-113.62518455781142,"(53.541222144339855, -113.62518455781142)",1
E19054967,XX,OTHER,163 ST NW / RIGHTCUT 163 ST NW,4180,GLENWOOD,September 09 2019,19:52:07,2019,SEPTEMBER,09,09,Monday,September 09 2019,19:58:51,PUMPER(1),53.53191390966597,-113.60270665607636,"(53.53191390966597, -113.60270665607636)",1
E19067854,AL,ALARMS,163 AV NW / 57 ST NW,2340,HOLLICK KENYON,November 08 2019,10:08:23,2019,NOVEMBER,11,08,Friday,November 08 2019,10:16:13,"DCCAR(1), LADDER(1), PUMPER(2), RESCUE(1), TANKER(1)",53.62596705737998,-113.42482840779877,"(53.62596705737998, -113.42482840779877)",1
E19054754,FR,FIRE,177 ST SW / WRIGHT DR SW,5570,WINDERMERE,September 08 2019,21:22:37,2019,SEPTEMBER,09,08,Sunday,September 08 2019,22:15:03,"DCCAR(1), LADDER(1), PUMPER(2), RESCUE(1), TANKER(1)",53.42777553065735,-113.62426730112126,"(53.42777553065735, -113.62426730112126)",1
E19058812,TA,MOTOR VEHICLE INCIDENT,100 AV NW / 170 ST NB NW,4400,PLACE LA RUE,September 26 2019,23:53:54,2019,SEPTEMBER,09,26,Thursday,September 27 2019,01:44:29,PUMPER(1),53.539289151025216,-113.61500368493172,"(53.539289151025216, -113.61500368493172)",1
E19061172,MD,MEDICAL,No location,4560,THORNCLIFFE,October 08 2019,04:16:40,2019,OCTOBER,10,08,Tuesday,October 08 2019,05:25:05,PUMPER(1),53.51486984598656,-113.62564041650258,"(53.51486984598656, -113.62564041650258)",1
E19057530,MD,MEDICAL,7A AV SW / 176 ST SW,5570,WINDERMERE ESTATES,September 21 2019,12:21:06,2019,SEPTEMBER,09,21,Saturday,September 21 2019,13:21:14,PUMPER(1),53.42755456627876,-113.62337732851947,"(53.42755456627876, -113.62337732851947)",1
E19052889,86,ADVISED EVENT,56 ST NW / 162 AV NW,2340,HOLLICK KENYON,,,,,,,,August 31 2019,05:50:52,NO UNITS DISPTCHED,53.624423988244395,-113.42481205506076,"(53.624423988244395, -113.42481205506076)",1
E19061307,AL,ALARMS,WHITELAW DR NW / WEST LNDG NW,5570,WINDERMERE ESTATES,October 08 2019,15:58:00,2019,OCTOBER,10,08,Tuesday,October 08 2019,16:06:56,"DCCAR(1), LADDER(1), PUMPER(2), RESCUE(1), TANKER(1)",53.441519566767234,-113.60864123693278,"(53.441519566767234, -113.60864123693278)",1
E19066439,MD,MEDICAL,155 AV NW / DEAD END,2340,HOLLICK-KENYON,November 01 2019,15:09:55,2019,NOVEMBER,11,01,Friday,November 01 2019,18:15:06,PUMPER(1),53.61764139673011,-113.4230298226055,"(53.61764139673011, -113.4230298226055)",1
E19053188,MD,MEDICAL,162 AV NW / 54 ST NW,2340,HOLLICK-KENYON,September 01 2019,16:44:52,2019,SEPTEMBER,09,01,Sunday,September 01 2019,19:25:28,PUMPER(1),53.623525092398154,-113.41925070208188,"(53.623525092398154, -113.41925070208188)",1
E19054936,MD,MEDICAL,WINDERMERE WAY SW / WINDERMERE BLVD EB SW,5570,WINDERMERE,September 09 2019,16:39:02,2019,SEPTEMBER,09,09,Monday,September 09 2019,17:33:53,PUMPER(1),53.43691069467858,-113.61866067901322,"(53.43691069467858, -113.61866067901322)",1
E19060354,AL,ALARMS,BRIARWYND CT NW,4560,THORNCLIFFE,October 03 2019,23:51:44,2019,OCTOBER,10,03,Thursday,October 03 2019,23:58:16,"DCCAR(1), LADDER(1), PUMPER(2), RESCUE(1), TANKER(1)",53.51511940336888,-113.62571094961575,"(53.51511940336888, -113.62571094961575)",1
E19065827,MD,MEDICAL,FORT RD NW / 131 AV NW,2080,BELVEDERE,October 29 2019,23:50:50,2019,OCTOBER,10,29,Tuesday,October 30 2019,00:51:42,PUMPER(1),53.59038367404557,-113.4334040956909,"(53.59038367404557, -113.4334040956909)",1
E19065627,AL,ALARMS,JASPER AV NW / 90 ST NW,1190,RIVER VALLEY KINNAIRD WARD 4,October 29 2019,06:24:57,2019,OCTOBER,10,29,Tuesday,October 29 2019,06:52:05,"DCCAR(1), LADDER(1), PUMPER(2), RESCUE(1)",53.550702132251196,-113.47376734060829,"(53.550702132251196, -113.47376734060829)",1
E19064701,HZ,HAZARDOUS MATERIALS,WHITELAW DR NW / WHISPERING RIVER DR NW,5570,WINDERMERE ESTATES,October 24 2019,17:03:51,2019,OCTOBER,10,24,Thursday,October 24 2019,17:22:40,PUMPER(1),53.442014930739575,-113.60762445859714,"(53.442014930739575, -113.60762445859714)",1
E19066004,AL,ALARMS,51 ST NW / 162 AV NW,2340,HOLLICK KENYON,October 30 2019,18:10:18,2019,OCTOBER,10,30,Wednesday,October 30 2019,18:22:50,"DCCAR(1), LADDER(1), PUMPER(2), RESCUE(1)",53.623293342241496,-113.41460759075048,"(53.623293342241496, -113.41460759075048)",1
E19064285,MD,MEDICAL,WINDERMERE WAY SW / WINDERMERE BLVD EB SW,5570,WINDERMERE,October 22 2019,23:49:52,2019,OCTOBER,10,22,Tuesday,October 23 2019,00:23:38,PUMPER(1),53.433073774144034,-113.61768097792995,"(53.433073774144034, -113.61768097792995)",1
E19065061,MD,MEDICAL,162 AV NW / 54 ST NW,2340,HOLLICK KENYON,October 26 2019,12:36:08,2019,OCTOBER,10,26,Saturday,October 26 2019,17:44:15,PUMPER(1),53.62342791926396,-113.41831462792788,"(53.62342791926396, -113.41831462792788)",1
E19070580,XX,OTHER,177 ST SW / WRIGHT DR SW,5570,WINDERMERE ESTATES,November 21 2019,19:03:44,2019,NOVEMBER,11,21,Thursday,November 21 2019,19:37:24,PUMPER(1),53.42845819986322,-113.62486863678656,"(53.42845819986322, -113.62486863678656)",1
E19057211,AL,ALARMS,157 AV NW / 52A ST NW,2340,HOLLICK-KENYON,September 19 2019,17:33:53,2019,SEPTEMBER,09,19,Thursday,September 19 2019,17:46:37,"DCCAR(1), LADDER(1), PUMPER(2), RESCUE(1)",53.618013723312636,-113.41952698421537,"(53.618013723312636, -113.41952698421537)",1
E19065332,CA,CITIZEN ASSIST,WINDERMERE WAY SW / WINDERMERE BLVD EB SW,5570,WINDERMERE ESTATES,October 27 2019,20:28:36,2019,OCTOBER,10,27,Sunday,October 27 2019,20:46:39,PUMPER(1),53.43864914189735,-113.619242881346,"(53.43864914189735, -113.619242881346)",1
E19060624,MD,MEDICAL,55 ST NW / 165 AV NW,2340,HOLLICK-KENYON,October 05 2019,10:17:43,2019,OCTOBER,10,05,Saturday,October 05 2019,12:43:26,PUMPER(1),53.62835203825227,-113.41819520893725,"(53.62835203825227, -113.41819520893725)",1
E19054926,AL,ALARMS,WINDERMERE CRES NW / 170 ST NW,5570,WINDERMERE ESTATES,September 09 2019,15:37:44,2019,SEPTEMBER,09,09,Monday,September 09 2019,16:07:49,"DCCAR(1), PUMPER(1), RESCUE(1)",53.45106933197536,-113.61716579197565,"(53.45106933197536, -113.61716579197565)",1
E19069367,MD,MEDICAL,177 ST SW / 10 AV SW,5570,WINDERMERE ESTATES,November 15 2019,20:50:09,2019,NOVEMBER,11,15,Friday,November 15 2019,23:24:58,PUMPER(1),53.42403692539549,-113.62498739472987,"(53.42403692539549, -113.62498739472987)",1
E19058601,AL,ALARMS,184 ST NW / 100 AV NW,4400,PLACE LA RUE,September 26 2019,05:56:28,2019,SEPTEMBER,09,26,Thursday,September 26 2019,06:06:13,"DCCAR(1), LADDER(1), PUMPER(2), RESCUE(1), TANKER(1)",53.538492278029715,-113.63981339132292,"(53.538492278029715, -113.63981339132292)",1
E19062113,MD,MEDICAL,57 ST NW / 162 AV NW,2340,HOLLICK KENYON,October 12 2019,11:17:48,2019,OCTOBER,10,12,Saturday,October 12 2019,12:59:54,PUMPER(1),53.62342551068023,-113.42605110149096,"(53.62342551068023, -113.42605110149096)",1
E19071025,MD,MEDICAL,162 AV NW / 54 ST NW,2340,HOLLICK KENYON,November 24 2019,02:46:33,2019,NOVEMBER,11,24,Sunday,November 24 2019,04:33:28,NO UNITS DISPTCHED,53.62342791926396,-113.41831462792788,"(53.62342791926396, -113.41831462792788)",1
E19061569,MD,MEDICAL,57A ST NW / 161 AV NW,2340,HOLLICK KENYON,October 09 2019,20:18:47,2019,OCTOBER,10,09,Wednesday,October 10 2019,01:18:21,PUMPER(1),53.62220522316977,-113.42723329083147,"(53.62220522316977, -113.42723329083147)",1
E19000507,AL,ALARMS,172 ST SW / WASHBURN DR SW,5570,WINDERMERE,October 13 2019,15:58:00,2019,OCTOBER,10,13,Sunday,October 13 2019,16:05:00,NO UNITS DISPTCHED,53.428093252813,-113.61718081677886,"(53.428093252813, -113.61718081677886)",1
E19059483,PM,PERMIT-BURNING OR OTHER,143 ST NW,5401,RIVER VALLEY FORT EDMONTON,,,,,,,,September 30 2019,11:07:42,NO UNITS DISPTCHED,53.50324211649461,-113.56241293764755,"(53.50324211649461, -113.56241293764755)",1
E19057128,MD,MEDICAL,ERIN PL NW,4560,THORNCLIFF,September 19 2019,11:54:41,2019,SEPTEMBER,09,19,Thursday,September 19 2019,14:37:06,PUMPER(1),53.51602171243712,-113.62512015217126,"(53.51602171243712, -113.62512015217126)",1
E19055952,MD,MEDICAL,86 AV NW / 175 ST NW,4560,THORNCLIFF,September 14 2019,07:00:21,2019,SEPTEMBER,09,14,Saturday,September 14 2019,09:05:39,PUMPER(2),53.51910859423379,-113.62517788565349,"(53.51910859423379, -113.62517788565349)",1
E19069764,MD,MEDICAL,WINDERMERE DR NW / WINDERMERE BLVD NW,5570,WINDERMERE ESTATES,November 17 2019,22:36:35,2019,NOVEMBER,11,17,Sunday,November 18 2019,02:12:45,PUMPER(1),53.44057975323843,-113.63105335135816,"(53.44057975323843, -113.63105335135816)",1
E19070373,MD,MEDICAL,55 ST NW / 165 AV NW,2340,HOLLICK KENYON,November 20 2019,18:43:20,2019,NOVEMBER,11,20,Wednesday,November 20 2019,20:36:04,PUMPER(1),53.62835203825227,-113.41819520893725,"(53.62835203825227, -113.41819520893725)",1
E19062144,FR,FIRE,58A ST NW / 166 AV NW,2340,HOLLICK-KENYON,October 12 2019,14:58:48,2019,OCTOBER,10,12,Saturday,October 12 2019,15:58:03,"DCCAR(1), INVESTIGATOR(1), LADDER(1), PUMPER(2), RESCUE(1), TANKER(1)",53.62799261939513,-113.4281427377714,"(53.62799261939513, -113.4281427377714)",1
E19057807,AL,ALARMS,166 AV NW / 58 ST NW,2340,HOLLICK KENYON,September 22 2019,19:35:33,2019,SEPTEMBER,09,22,Sunday,September 22 2019,19:50:12,"DCCAR(1), LADDER(1), PUMPER(2), RESCUE(1), TANKER(1)",53.628130418123526,-113.42688524274439,"(53.628130418123526, -113.42688524274439)",1
E19070506,MD,MEDICAL,177 ST SW / WRIGHT DR SW,5570,WINDERMERE ESTATES,November 21 2019,12:25:58,2019,NOVEMBER,11,21,Thursday,November 21 2019,13:07:13,PUMPER(1),53.428589579040604,-113.62506300522594,"(53.428589579040604, -113.62506300522594)",1
E19069945,MD,MEDICAL,WESTCLIFF CL SW / WESTCLIFF WAY SW,5570,WINDERMERE ESTATES,November 18 2019,19:37:16,2019,NOVEMBER,11,18,Monday,November 18 2019,21:56:00,PUMPER(1),53.43445213254819,-113.62861652951354,"(53.43445213254819, -113.62861652951354)",1
E19065435,MD,MEDICAL,57A ST NW / 161 AV NW,2340,HOLLICK KENYON,October 28 2019,09:30:05,2019,OCTOBER,10,28,Monday,October 28 2019,12:34:14,PUMPER(1),53.62220522316977,-113.42723329083147,"(53.62220522316977, -113.42723329083147)",1
E19062812,TM,TRAINING/MAINTENANCE,No location,1190,RIVER VALLEY KINNAIRD WARD 4,October 16 2019,08:47:21,2019,OCTOBER,10,16,Wednesday,October 16 2019,10:26:28,PUMPER(1),53.55223248367,-113.47128133595652,"(53.55223248367, -113.47128133595652)",1
E19065095,MD,MEDICAL,9 AV SW / WRIGHT DR SW,5570,WINDERMERE ESTATES,October 26 2019,16:31:56,2019,OCTOBER,10,26,Saturday,October 26 2019,18:39:52,PUMPER(1),53.42596802868805,-113.62943182376551,"(53.42596802868805, -113.62943182376551)",1
E19062117,MD,MEDICAL,STONY PLAIN RD NW,4400,PLACE LA RUE,October 12 2019,11:35:50,2019,OCTOBER,10,12,Saturday,October 12 2019,12:20:30,PUMPER(1),53.54104395791896,-113.6450825653503,"(53.54104395791896, -113.6450825653503)",1
E19070617,MD,MEDICAL,100 AV NW / 184 ST NW,4400,PLACE LA RUE,November 21 2019,23:48:04,2019,NOVEMBER,11,21,Thursday,November 22 2019,01:24:17,PUMPER(1),53.537134110813305,-113.64551265733112,"(53.537134110813305, -113.64551265733112)",1
E19056309,MD,MEDICAL,100 AV NW / 175 ST NW,4400,PLACE LARUE,September 16 2019,01:50:08,2019,SEPTEMBER,09,16,Monday,September 16 2019,02:58:50,PUMPER(1),53.53818115136063,-113.62415855976964,"(53.53818115136063, -113.62415855976964)",1
E19057164,AL,ALARMS,179A ST NW,4400,PLACE LA RUE,September 19 2019,14:24:12,2019,SEPTEMBER,09,19,Thursday,September 19 2019,14:35:44,"DCCAR(1), LADDER(1), PUMPER(2), RESCUE(1), TANKER(1)",53.53808534436118,-113.63125486031058,"(53.53808534436118, -113.63125486031058)",1
